Timestamp,Gaze,Focus,Smile,Head
2026-01-18 23:07:45.224609,"Looking Right, Looking Down",Looking Away,Neutral,Static
2026-01-18 23:07:45.454935,"Looking Right, Looking Down",Looking Away,Neutral,Static
2026-01-18 23:07:45.689364,"Looking Right, Looking Down",Looking Away,Neutral,Static
2026-01-18 23:07:45.923601,"Looking Right, Looking Down",Looking Away,Neutral,Static
2026-01-18 23:07:46.143883,"Looking Right, Looking Down",Looking Away,Neutral,Static
2026-01-18 23:07:46.376410,"Looking Right, Looking Down",Looking Away,Neutral,Static
2026-01-18 23:07:46.596995,"Looking Right, Looking Down",Looking Away,Neutral,Static
2026-01-18 23:07:46.830660,"Looking Right, Looking Down",Looking Away,Neutral,Static
2026-01-18 23:07:47.049640,"Looking Right, Looking Down",Looking Away,Neutral,Static
2026-01-18 23:07:47.283162,"Looking Right, Looking Down",Looking Away,Neutral,Static
2026-01-18 23:07:47.514804,"Looking Right, Looking Down",Looking Away,Neutral,Static
2026-01-18 23:07:47.748788,"Looking Right, Looking Down",Looking Away,Neutral,Static
2026-01-18 23:07:47.980677,"Looking Right, Looking Down",Looking Away,Neutral,Static
2026-01-18 23:07:48.200340,"Looking Right, Looking Down",Looking Away,Neutral,Static
2026-01-18 23:07:48.433957,"Looking Right, Looking Down",Looking Away,Neutral,Static
2026-01-18 23:07:48.653117,"Looking Right, Looking Down",Looking Away,Neutral,Static
2026-01-18 23:07:48.873644,"Looking Right, Looking Down",Looking Away,Neutral,Static
2026-01-18 23:07:49.106940,"Looking Right, Looking Down",Looking Away,Neutral,Static
2026-01-18 23:07:49.341353,"Looking Right, Looking Down",Looking Away,Neutral,Static
2026-01-18 23:07:49.576045,"Looking Right, Looking Down",Looking Away,Neutral,Static
2026-01-18 23:07:49.808963,"Looking Right, Looking Down",Looking Away,Neutral,Static
2026-01-18 23:07:50.043713,"Looking Right, Looking Down",Looking Away,Neutral,Static
2026-01-18 23:07:50.278865,"Looking Right, Looking Down",Looking Away,Neutral,Static
2026-01-18 23:07:50.512167,"Looking Right, Looking Down",Looking Away,Neutral,Static
2026-01-18 23:07:50.762066,"Looking Right, Looking Down",Looking Away,Neutral,Static
2026-01-18 23:07:51.057319,"Looking Right, Looking Down",Looking Away,Neutral,Static
2026-01-18 23:07:51.338778,"Looking Right, Looking Down",Looking Away,Neutral,Static
